,lsoa,latitude,longitude,area,month,score_0,score_1
88,E01004790,53.60531999999999,-2.40315,821146.5046,4,7,9
89,E01004790,53.60531999999999,-2.40315,821146.5046,5,6,8
90,E01004790,53.60531999999999,-2.40315,821146.5046,6,5,3
91,E01004790,53.60531999999999,-2.40315,821146.5046,7,9,5
92,E01004790,53.60531999999999,-2.40315,821146.5046,8,3,3
93,E01004790,53.60531999999999,-2.40315,821146.5046,9,4,6
94,E01004790,53.60531999999999,-2.40315,821146.5046,10,5,5
95,E01004790,53.60531999999999,-2.40315,821146.5046,11,4,6
96,E01004805,53.62096,-2.41206,711092.6128,0,3,2
97,E01004805,53.62096,-2.41206,711092.6128,1,1,3
98,E01004805,53.62096,-2.41206,711092.6128,2,1,0
99,E01004805,53.62096,-2.41206,711092.6128,3,1,3
100,E01004805,53.62096,-2.41206,711092.6128,4,0,0
101,E01004805,53.62096,-2.41206,711092.6128,5,5,0
102,E01004805,53.62096,-2.41206,711092.6128,6,1,1
103,E01004805,53.62096,-2.41206,711092.6128,7,0,2
104,E01004805,53.62096,-2.41206,711092.6128,8,1,0
105,E01004805,53.62096,-2.41206,711092.6128,9,2,2
106,E01004805,53.62096,-2.41206,711092.6128,10,4,1
107,E01004805,53.62096,-2.41206,711092.6128,11,5,1
108,E01004806,53.61445,-2.41188,742912.6179,0,2,8
109,E01004806,53.61445,-2.41188,742912.6179,1,5,3
110,E01004806,53.61445,-2.41188,742912.6179,2,3,4
111,E01004806,53.61445,-2.41188,742912.6179,3,3,7
112,E01004806,53.61445,-2.41188,742912.6179,4,3,2
113,E01004806,53.61445,-2.41188,742912.6179,5,3,3
114,E01004806,53.61445,-2.41188,742912.6179,6,1,2
115,E01004806,53.61445,-2.41188,742912.6179,7,4,4
116,E01004806,53.61445,-2.41188,742912.6179,8,3,7
117,E01004806,53.61445,-2.41188,742912.6179,9,2,1
118,E01004806,53.61445,-2.41188,742912.6179,10,3,4
119,E01004806,53.61445,-2.41188,742912.6179,11,5,5
120,E01004810,53.60635,-2.4125400000000004,995760.5969,0,2,2
121,E01004810,53.60635,-2.4125400000000004,995760.5969,1,1,6
122,E01004810,53.60635,-2.4125400000000004,995760.5969,2,4,3
123,E01004810,53.60635,-2.4125400000000004,995760.5969,3,4,4
124,E01004810,53.60635,-2.4125400000000004,995760.5969,4,4,0
125,E01004810,53.60635,-2.4125400000000004,995760.5969,5,2,0
126,E01004810,53.60635,-2.4125400000000004,995760.5969,6,4,3
127,E01004810,53.60635,-2.4125400000000004,995760.5969,7,1,0
128,E01004810,53.60635,-2.4125400000000004,995760.5969,8,2,2
129,E01004810,53.60635,-2.4125400000000004,995760.5969,9,4,0
130,E01004810,53.60635,-2.4125400000000004,995760.5969,10,1,1
131,E01004810,53.60635,-2.4125400000000004,995760.5969,11,1,0
132,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,0,5,4
133,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,1,9,1
134,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,2,2,0
135,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,3,2,1
136,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,4,0,3
137,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,5,4,5
138,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,6,4,1
139,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,7,1,2
140,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,8,1,2
141,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,9,2,1
142,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,10,3,5
143,E01004769,53.61066999999999,-2.4258900000000003,576293.1145,11,3,7
144,E01004770,53.60621999999999,-2.4217400000000002,808107.6667,0,2,3
145,E01004770,53.60621999999999,-2.4217400000000002,808107.6667,1,0,1
146,E01004770,53.60621999999999,-2.4217400000000002,808107.6667,2,1,0
147,E01004770,53.60621999999999,-2.4217400000000002,808107.6667,3,1,2
148,E01004770,53.60621999999999,-2.4217400000000002,808107.6667,4,3,2
149,E01004770,53.60621999999999,-2.4217400000000002,808107.6667,5,6,4
150,E01004770,53.60621999999999,-2.4217400000000002,808107.6667,6,2,1
151,E01004770,53.60621999999999,-2.4217400000000002,808107.6667,7,2,1
