,lsoa,lat,lon
183,E01000184,51.60153,-0.16601
184,E01000185,51.59601,-0.17165
185,E01000186,51.62286,-0.2745
186,E01000187,51.62624,-0.27265
187,E01000188,51.63112,-0.28588
188,E01000189,51.62142,-0.28837
189,E01000190,51.61861,-0.28444
190,E01000191,51.62031,-0.27834
191,E01000192,51.61651,-0.27312
192,E01000193,51.61464,-0.27919
193,E01000194,51.61076,-0.27411
194,E01000195,51.63084,-0.2671
195,E01000196,51.59805,-0.19599
196,E01000197,51.59717,-0.18818
197,E01000198,51.59582,-0.21435
198,E01000199,51.59965,-0.20669
199,E01000200,51.59611,-0.20434
200,E01000201,51.5916,-0.20487
201,E01000202,51.5943,-0.19622
202,E01000203,51.5923,-0.19315
203,E01000204,51.60216,-0.20141
204,E01000205,51.58714,-0.18934
205,E01000206,51.57549,-0.17698
206,E01000207,51.58221,-0.18414
207,E01000208,51.58556,-0.16941
208,E01000209,51.58338,-0.19341
209,E01000210,51.58942,-0.18283
210,E01000211,51.58539,-0.1989
211,E01000212,51.57797,-0.19251
212,E01000213,51.58028,-0.17852
213,E01000214,51.57337,-0.19109
214,E01000215,51.58058,-0.20916
215,E01000216,51.57891,-0.20074
216,E01000217,51.58318,-0.20333
217,E01000218,51.57853,-0.20462
218,E01000219,51.57605,-0.21259
219,E01000220,51.57538,-0.20778
220,E01000221,51.57309,-0.21931
221,E01000222,51.56951,-0.2138
222,E01000223,51.56761,-0.22329
223,E01000224,51.56591,-0.21309
224,E01000225,51.58637,-0.20553
225,E01000226,51.61038,-0.26592
226,E01000227,51.61432,-0.26675
227,E01000228,51.63338,-0.25318
228,E01000229,51.62465,-0.26487
229,E01000230,51.62359,-0.26891
230,E01000231,51.62444,-0.25836
231,E01000232,51.61951,-0.26075
232,E01000233,51.61444,-0.26085
233,E01000234,51.61559,-0.25506
234,E01000235,51.61063,-0.25197
235,E01000236,51.58466,-0.2132
236,E01000237,51.58551,-0.22486
237,E01000238,51.58855,-0.21265
238,E01000239,51.59137,-0.23415
239,E01000240,51.59808,-0.23072
240,E01000241,51.5946,-0.22514
241,E01000242,51.59253,-0.21672
242,E01000243,51.59043,-0.22109
243,E01000244,51.59097,-0.22803
244,E01000245,51.58696,-0.22173
245,E01000246,51.65698,-0.18561
246,E01000247,51.65456,-0.18023
247,E01000248,51.65463,-0.20766
248,E01000249,51.65744,-0.21458
249,E01000250,51.65477,-0.1968
250,E01000251,51.6505,-0.17887
251,E01000252,51.64972,-0.18585
252,E01000253,51.65043,-0.23719
253,E01000254,51.66342,-0.19839
254,E01000255,51.61597,-0.22458
255,E01000256,51.60989,-0.23546
256,E01000257,51.60862,-0.20705
257,E01000258,51.61511,-0.23994
258,E01000259,51.6037,-0.21771
259,E01000260,51.60443,-0.23326
260,E01000261,51.62326,-0.23499
261,E01000262,51.61721,-0.20863
262,E01000263,51.62069,-0.24734
263,E01000264,51.6194,-0.25292
264,E01000265,51.62418,-0.15782
265,E01000266,51.62302,-0.16669
266,E01000267,51.64121,-0.17267
267,E01000268,51.64716,-0.18054
268,E01000269,51.64357,-0.18335
269,E01000270,51.6453,-0.17523
270,E01000271,51.63892,-0.17689
271,E01000272,51.63407,-0.16696
272,E01000273,51.63188,-0.17056
273,E01000274,51.6277,-0.16071
274,E01000275,51.62074,-0.18663
275,E01000276,51.62044,-0.19518
276,E01000277,51.61818,-0.1832
277,E01000278,51.61409,-0.1945
278,E01000279,51.63257,-0.21229
279,E01000280,51.63372,-0.18722
280,E01000281,51.62836,-0.17275
281,E01000282,51.6283,-0.18035
282,E01000283,51.62478,-0.1892
283,E01000284,51.62395,-0.17833
284,E01000285,51.64588,-0.2101
285,E01000286,51.64813,-0.21837
286,E01000287,51.64405,-0.21452
287,E01000288,51.64411,-0.19004
288,E01000289,51.64418,-0.19548
289,E01000290,51.64131,-0.23604
290,E01000291,51.64356,-0.20349
291,E01000292,51.64946,-0.20372
292,E01000293,51.64901,-0.19879
293,E01000294,51.64987,-0.21003
294,E01000295,51.60149,-0.18837
295,E01000296,51.60439,-0.19319
296,E01000297,51.59892,-0.1822
297,E01000298,51.60431,-0.1853
298,E01000299,51.61387,-0.17824
299,E01000300,51.61446,-0.18356
300,E01000301,51.61122,-0.18836
301,E01000302,51.61068,-0.18295
302,E01000303,51.60847,-0.19322
303,E01000304,51.60617,-0.19787
304,E01000305,51.57353,-0.24228
305,E01000306,51.57854,-0.23562
306,E01000307,51.57541,-0.22699
307,E01000308,51.57781,-0.24827
308,E01000309,51.58488,-0.23535
309,E01000310,51.57932,-0.22448
310,E01000311,51.5814,-0.21824
311,E01000312,51.58206,-0.25057
312,E01000313,51.58056,-0.23959
313,E01000314,51.58142,-0.23013
314,E01000315,51.60758,-0.16519
315,E01000316,51.60476,-0.17495
316,E01000317,51.60812,-0.18025
317,E01000318,51.61016,-0.17179
318,E01000319,51.60257,-0.17934
319,E01000320,51.61963,-0.17184
320,E01000321,51.62008,-0.1776
321,E01000322,51.61664,-0.17072
322,E01000323,51.61405,-0.17393
323,E01000324,51.61379,-0.16457
324,E01000325,51.46207,0.16502
325,E01000326,51.46292,0.17496
326,E01000327,51.46261,0.15423
327,E01000328,51.45748,0.16762
328,E01000329,51.45471,0.15661
329,E01000330,51.45898,0.15261
330,E01000331,51.45013,0.1615
331,E01000332,51.48569,0.15134
332,E01000333,51.48223,0.14608
333,E01000334,51.48331,0.13913
334,E01000335,51.49995,0.15663
335,E01000336,51.49068,0.14549
336,E01000337,51.48818,0.14164
337,E01000338,51.48754,0.14704
338,E01000339,51.4388,0.08534
339,E01000340,51.45236,0.08953
340,E01000341,51.44937,0.09451
341,E01000342,51.44619,0.09058
342,E01000343,51.44746,0.09882
343,E01000344,51.44174,0.08747
344,E01000345,51.44203,0.09416
