,Unnamed: 0,beds,bed_type,bed_score,rating,price,Latitude,Longitude,name,host_id,crime,bus,room,total
44,44,1,Real Bed,1,99,91.83673469,53.37769,-2.35919,Private room Bowdon S'th Manchester,12301938,35.69776047,49.35853494,100,203.4425341
45,45,1,Real Bed,1,89,96.42857143,53.42198,-2.22155,Double Bedroom with breakfast,17669919,36.28296966,100,100,231.5295856
46,46,1,Real Bed,1,98,91.32653061,53.42069,-2.18261,Double Bedroom in Victorian Home (King Size Bed),17746047,23.99357671,88.74319979,100,250.9546306
47,47,1,Real Bed,1,97,86.98979592,53.37152,-2.36778,"Ayuda House B&B Bowdon, Cheshire, 5 rooms in total",11483160,13.45981132,53.60546038,100,220.3213816
48,48,1,Real Bed,1,99,92.09183673,53.47183,-2.26251,Ellesmere Street - Roof Garden - Gay Host,3607304,96.55951603,83.11217376,100,176.8580495
49,49,1,Real Bed,1,96,91.07142857,53.37033,-2.36381,Self-contained en-suite room,8664431,22.23794915,93.79135603,100,252.119842
50,50,1,Real Bed,1,96,90.56122449,53.4809,-2.224,Double in Manchester City Centre,8455918,86.61095983,100,100,195.7922541
51,51,1,Real Bed,1,89,96.68367347,53.42698,-2.21815,Small double Bedroom with breakfast,17669919,39.2090156,100,100,229.1524455
52,52,1,Real Bed,1,95,92.34693878,53.40304,-2.16716,Beautiful Large Ensuite Loft Room,19487486,120.5530927,84.76697183,100,148.732777
53,53,1,Real Bed,1,97,76.53061224,53.47463,-2.24102,Superb Double Room In Manchester City Centre,2895264,290.2637573,100,100,0
54,54,1,Real Bed,1,97,92.60204082,53.41795,-2.21294,Spacious and cosy Double Bedroom,19789170,49.1575718,68.53426075,100,205.6193679
55,55,1,Real Bed,1,97,95.66326531,53.40483,-2.29174,Perfect for Airport and Hospital,15159184,56.18008205,39.48115151,100,173.5954047
56,56,1,Real Bed,1,100,92.34693878,53.44786,-2.20056,The kindness of strangers,19734859,71.98073013,100,100,220.3662086
57,57,1,Real Bed,1,93,95.15306122,53.45932,-2.17265,Cozy Double Room Available,21029549,132.2572765,59.16921519,100,113.5204499
58,58,1,Real Bed,1,93,95.66326531,53.46072,-2.17283,Cute Single Room Available,21029549,132.2572765,100,100,151.9675696
59,59,1,Real Bed,1,97,92.09183673,53.43966,-2.28129,Lovely double room in Chorlton,3926962,35.69776047,77.18887382,100,226.5754616
60,60,1,Futon,0.6,97,95.91836735,53.47064,-2.29509,Cosy Single Room - Canal Views with WiFi,21254433,84.85533227,84.62173776,60,151.0142297
61,61,1,Real Bed,1,97,96.93877551,53.48536,-2.13462,Cosy single room - Parking included,14728896,42.72027073,48.58308762,100,196.7175446
62,62,1,Real Bed,1,96,94.3877551,53.45107,-2.28201,"1.Chorlton, MUFC & Media City, start here!",21949435,52.66882692,37.12481064,100,171.6899893
63,63,1,Real Bed,1,96,93.1122449,53.45144,-2.28338,"2.Chorlton, MUFC & Media City, start here!",21949435,52.66882692,45.41982092,100,178.4287093
64,64,1,Real Bed,1,94,91.83673469,53.47231,-2.25816,Double room with stunning views,3316046,96.55951603,60.75962265,100,146.6746308
65,65,1,Real Bed,1,98,94.64285714,53.44839,-2.18699,Double room in a friendly household,22200019,55.00966368,86.17720929,100,221.2941947
66,66,1,Real Bed,1,100,90.30612245,53.46878,-2.24719,Excellent room at Excellent location,22300551,192.5338229,97.42064429,100,95.19294388
67,67,1,Real Bed,1,99,82.39795918,53.4791,-2.23103,Perfect city centre warehouse conversion,22387983,290.2637573,100,100,0
68,68,1,Real Bed,1,80,93.1122449,53.4812,-2.23648,City Centre Double Bedroom in the Northern Quarter,11648424,290.2637573,100,100,2.278790106
69,69,1,Real Bed,1,97,92.34693878,53.45798,-2.2679,Sunny stylish room in a happy house,19892769,14.6302297,100,100,269.3852078
70,70,1,Real Bed,1,95,97.44897959,53.48526,-2.34232,Double Room in shared apartment,23182584,167.955037,97.93910815,100,121.0613982
71,71,1,Real Bed,1,93,94.89795918,53.48791,-2.26518,Warm bedroom close city cente,23673949,112.3601641,40.80057701,100,114.704686
72,72,1,Real Bed,1,96,93.62244898,53.47562,-2.27599,Well Located Simple Double Room,10222609,69.63989338,100,100,215.0232534
73,73,1,Real Bed,1,95,93.1122449,53.45114,-2.2734,Trafford Mansion (Single Room) Free WiFi,24276634,32.18650534,100,100,247.8794526
74,74,1,Real Bed,1,88,90.56122449,53.44971,-2.27522,Trafford Mansion (Double Room) Free WiFi,24276634,36.86817885,91.55063191,100,215.8144362
75,75,1,Real Bed,1,100,94.3877551,53.44129,-2.28631,Friendly Chorlton Houseshare Double,26193398,12.87460214,100,100,281.513153
76,76,1,Real Bed,1,98,93.1122449,53.4425,-2.24241,"Hi i,m Darren",26303964,59.10612799,100,100,229.3259946
77,77,1,Real Bed,1,99,93.36734694,53.43981,-2.28344,"Peaceful Attic-Room, 2, Chorlton",4917842,35.69776047,100,100,255.0928906
78,78,1,Real Bed,1,100,94.89795918,53.41158,-2.22423,Beautiful Family Home,7691062,44.47589829,81.43557592,100,231.8576368
79,79,1,Real Bed,1,100,91.83673469,53.47732,-2.16257,Double Room; Canalside Near Ethiad & City Centre.,28461411,66.12863825,96.67266872,100,222.3807652
80,80,1,Real Bed,1,96,95.40816327,53.43916,-2.28618,Friendly house in a great location,28733141,19.89711239,100,100,264.4906088
81,81,1,Real Bed,1,95,92.85714286,53.40002,-2.16045,"Central Stockport, well connected",29029492,50.91319936,100,100,229.8467463
82,82,1,Real Bed,1,89,94.13265306,53.4688,-2.28271,modern apartment near old Trafford,13374466,42.72027073,100,100,223.7570203
83,83,1,Real Bed,1,100,88.01020408,53.64423,-2.32143,Spacious Attic Room in a beautiful period property,5669235,25.74920427,100,100,262.2609998
84,84,1,Real Bed,1,90,96.93877551,53.45222,-2.24316,"Comfortable double room, well located.",29980011,116.4566284,100,100,162.4339324
85,85,1,Real Bed,1,100,95.66326531,53.44007,-2.27666,Double room in stylish loft flat,2686669,29.84566859,61.79483637,100,227.6124331
86,86,1,Real Bed,1,99,92.09183673,53.49565,-2.26126,Cosy room+ensuite 15 mins City Cr,31568577,98.90035278,68.53051521,100,160.1047792
87,87,1,Real Bed,1,98,95.66326531,53.44898,-2.35775,Cosy Single light Room With Garden View,11618063,47.98715342,100,100,242.7225896
88,88,1,Real Bed,1,99,94.3877551,53.42331,-2.23453,"Beautiful big rm convenient Uni, City and Christie",32026858,55.59487286,79.07020364,100,215.684455
89,89,1,Real Bed,1,99,91.83673469,53.43352,-2.27778,Loft Room,16055789,52.08361774,31.55982416,100,169.5998117
90,90,1,Real Bed,1,91,89.54081633,53.4666,-2.25724,Apartment in the heart of Manchester!,25591349,96.55951603,100,100,175.6129833
91,91,1,Real Bed,1,100,88.7755102,53.37315,-2.34669,Large Double Room with En-Suite,14471963,29.84566859,47.10088145,100,206.0307231
92,92,1,Real Bed,1,100,89.54081633,53.41678,-2.3107,"Room with a view, very handy for MAN Airport",32954691,18.72669402,100,100,270.8141223
93,93,1,Real Bed,1,99,96.42857143,53.49299,-2.26091,Modern Room 15 Minute Walk to Deansgate / City Ctr,1948933,98.90035278,100,100,195.5529365
94,94,1,Real Bed,1,100,93.1122449,53.43913,-2.28073,"Chorlton-Cum-Hardy, Manchester",34380772,35.69776047,71.27015681,100,228.6846412
95,95,1,Real Bed,1,96,89.54081633,53.47982,-2.2302,Double Room next to Picadilly,28731429,290.2637573,100,100,0
96,96,1,Real Bed,1,100,88.01020408,53.47888,-2.21934,Spacious City room with en suite,15965360,86.61095983,100,100,201.3992443
97,97,1,Real Bed,1,100,94.89795918,53.45349,-2.0914,We have 1 double bed with ensuits,34997903,96.55951603,90.53995207,100,188.8783952
98,98,1,Real Bed,1,99,97.19387755,53.51416,-2.53372,Fresh and comfortable single room in a 3 bed house,23770083,62.03217393,100,100,232.8100866
99,99,1,Real Bed,1,99,91.83673469,53.4243,-2.23652,West Didsbury room in BRIGHT flat!,6478345,42.13506154,100,100,247.2046564
100,100,1,Real Bed,1,100,93.1122449,53.40986,-2.22358,Lovely bedroom suitable for (female only),32812230,44.47589829,100,100,248.6363466
101,101,1,Real Bed,1,95,97.44897959,53.47355,-2.27269,Single room close to Quays & Town.,31453235,69.63989338,91.82943649,100,208.6565966
102,102,1,Real Bed,1,98,93.1122449,53.42828,-2.17421,Great transport links. Off Rd parking. Family home,34585717,46.81673504,100,100,241.3695997
103,103,1,Real Bed,1,99,91.32653061,53.4208,-2.18235,Double Bedroom in Victorian Home (Super King Bed),17746047,23.99357671,98.57717583,100,263.2510284
104,104,1,Real Bed,1,90,89.28571429,53.45963,-2.17161,Comfy Large Room Available,21029549,132.2572765,69.07020426,100,113.4887778
105,105,1,Real Bed,1,99,93.1122449,53.39677,-2.21422,Cosy room in pretty Cheadle cottage,38630456,69.05468419,82.244446,100,204.2389866
106,106,1,Real Bed,1,95,90.56122449,53.47609,-2.23543,"Short term stay in Manchester, UK",2435814,290.2637573,100,100,0.282593863
107,107,1,Real Bed,1,99,94.3877551,53.48596,-2.30474,Modern house close to transport,14078746,45.64631667,64.86238448,100,211.4677847
108,108,1,Real Bed,1,80,96.93877551,53.44298,-2.31373,"Double room in Trafford, Manchester",38241211,47.98715342,100,100,199.1612977
109,109,1,Real Bed,1,100,95.66326531,53.46161,-2.25775,Comfort near Manchester city centre,36022934,52.66882692,100,100,242.9944384
110,110,1,Real Bed,1,98,95.66326531,53.46299,-2.25743,Cosy modern near central Manchester,36022934,52.66882692,74.74113032,100,213.3808573
111,111,1,Real Bed,1,89,96.17346939,53.43336,-2.22426,Cosy apartment near Wilmslow Road,40010322,67.29905662,37.29077807,100,147.8870198
112,112,1,Real Bed,1,88,97.19387755,53.5549,-2.41052,Relaxing Loft Area  Bolton,13089980,72.56593932,100,100,197.6725856
113,113,1,Real Bed,1,89,96.42857143,53.49323,-2.07812,Large Single room in a lovely spiritual home.,26827663,63.7878015,100,100,207.0502852
114,114,1,Real Bed,1,93,93.1122449,53.46954,-2.24773,Easy Walk To City Centre,38838785,192.5338229,65.11643191,100,61.09621417
115,115,1,Real Bed,1,93,91.83673469,53.48244,-2.23243,DOUBLE ROOM-BATHROOM IN CITY CENTRE,42045764,86.61095983,100,100,190.8599706
116,116,1,Real Bed,1,95,95.66326531,53.42612,-2.33555,"Quiet Double Bedroom nr Airport, Tram & Bus Routes",26915867,19.31190321,100,100,262.533794
117,117,1,Real Bed,1,95,95.40816327,53.60286,-2.31166,single room in homely b and b,29287802,51.49840855,100,100,231.714267
118,118,1,Real Bed,1,93,96.93877551,53.50212,-2.31151,Comfortable small single room,31698083,61.44696474,64.22512367,100,185.736749
119,119,1,Real Bed,1,96,96.42857143,53.43365,-2.24233,Clean Small Double Room,42697343,71.98073013,93.64692904,100,209.3709795
120,120,1,Real Bed,1,98,95.91836735,53.4387,-2.26729,Large attic room with Single Bed,21970125,33.35692372,100,100,257.3102148
121,121,1,Real Bed,1,97,94.3877551,53.44878,-2.23862,"Quirky room near City Centre,University’s,Hospital",13998638,66.12863825,100,100,221.4113433
122,122,1,Real Bed,1,97,98.21428571,53.48793,-2.22104,Awesome Room in city centre !!BEST LOCATION!!,17761845,86.61095983,100,100,205.2552261
123,123,1,Real Bed,1,95,93.1122449,53.45845,-2.2326,"Rm2. WALK TO TOWN & UNI, super comfy double bed",14193799,141.6206235,100,100,143.9170403
124,124,1,Real Bed,1,100,96.93877551,53.47472,-2.22772,An en-suit room in a flat.,39454490,71.39552094,67.64705983,100,193.1903144
125,125,1,Real Bed,1,100,95.66326531,53.52758,-2.26821,Bright Room in  North Manchester,44689323,24.5787859,73.77849062,100,244.86297
126,126,1,Real Bed,1,100,88.01020408,53.37921,-2.35452,Dble Ensuite Altrincham Manchester,45663559,35.69776047,86.19999875,100,238.5124424
127,127,1,Real Bed,1,98,95.66326531,53.489,-2.33657,"Modern, Private and Cosy Room in Manchester",42204476,38.62380641,100,100,251.8986697
128,128,1,Real Bed,1,95,96.17346939,53.46473,-2.26492,Double bedroom situatated near the city centre,46365585,112.9453733,100,100,174.0666913
129,129,1,Real Bed,1,96,97.44897959,53.46563,-2.18946,Single Bedroom with breakfast,46539947,107.0932814,81.20282467,100,164.6961819
130,130,1,Real Bed,1,93,92.60204082,53.46412,-2.26221,Modern Hulme Apartment (M15),44528715,45.06110748,100,100,230.213068
131,131,1,Real Bed,1,99,93.1122449,53.42508,-2.18401,"1. Quick,easy access to Manchester and Stockport",46931442,57.93570962,43.31484207,100,176.7064636
132,132,1,Real Bed,1,88,93.87755102,53.46721,-2.24973,Cosy and comfortable double room,22646922,62.03217393,100,100,204.0239318
133,133,1,Real Bed,1,99,91.83673469,53.60479,-2.06854,Oakdene  -Annex with Stunning Views,48512122,38.03859722,8.638641941,100,160.8124116
134,134,1,Real Bed,1,95,95.91836735,53.47395,-2.2588,Comfy bedroom City Cent/castlefield,49095187,96.55951603,33.53429348,100,126.2484876
135,135,1,Real Bed,1,95,95.91836735,53.46485,-2.18963,Large Double room,46539947,107.0932814,100,100,179.3838316
136,136,1,Real Bed,1,95,96.42857143,53.46495,-2.19067,Back Double Room,46539947,107.0932814,81.13833377,100,161.9499426
137,137,1,Real Bed,1,100,93.1122449,53.42541,-2.18242,"2. Quick, easy access to Manchester and Stockport",46931442,57.93570962,49.44847284,100,184.6250081
138,138,1,Real Bed,1,100,91.83673469,53.37214,-2.36167,Alex & Xanthe welcome you to Bowdon,50183230,16.38585727,100,100,275.4508774
139,139,1,Real Bed,1,97,94.3877551,53.42091,-2.31752,Quiet room in large Victorian house,8606708,34.52734209,100,100,252.0646006
140,140,1,Real Bed,1,98,95.40816327,53.43244,-2.2749,Calm haven in popular Chorlton. Welcome!,51060582,52.08361774,94.28170592,100,232.8541264
141,141,1,Real Bed,1,98,94.3877551,53.3967,-2.20272,Charming cosy double near mcr airport with WiFi,26729286,33.94213291,100,100,255.2367098
142,142,1,Real Bed,1,89,95.66326531,53.42946,-2.31846,"Private, single bed room",52940928,15.21543889,67.09277752,100,220.3111375
143,143,1,Real Bed,1,98,97.70408163,53.45812,-2.1499,Friendly welcome to new travellers: Free breakfast,31957937,16.97106645,89.07612235,100,264.4129548
144,144,1,Real Bed,1,94,96.68367347,53.44468,-2.21906,** Spacious Room in Great Location **,36058935,158.59169,100,100,129.8064645
